Subj,Course,Subj Desc,Sec,CRN,Title,Schedule Type,Schedule Type Desc,Primary Instructor Last Name,Primary Instructor First Name,Primary Instructor ID,Crosslist ID,Approv,Detail Code,Fee,Min Credits,Max Credits,Prior Enrl,SCH,Auth Size,Actual Enrl,Seats Avail,% Capacity,Waitlist Max,Waitlist Actual,Waitlist Avail,Start Date 1,End Date 1,Time 1,Location 1,Instruct Method 1,Instruct Method Desc 1,Start Date 2,End Date 2,Time 2,Location 2,Instruct Method 2,Instruct Method Desc 2,Start Date 3,End Date 3,Time 3,Location 3,Instruct Method 3,Instruct Method Desc 3,Start Date 4,End Date 4,Time 4,Location 4,Instruct Method 4,Instruct Method Desc 4,Start Date 5,End Date 5,Time 5,Location 5,Instruct Method 5,Instruct Method Desc 5,Start Date 6,End Date 6,Time 6,Location 6,Instruct Method 6,Instruct Method Desc 6,Start Date 7,End Date 7,Time 7,Location 7,Instruct Method 7,Instruct Method Desc 7,Start Date 8,End Date 8,Time 8,Location 8,Instruct Method 8,Instruct Method Desc 8,Start Date 9,End Date 9,Time 9,Location 9,Instruct Method 9,Instruct Method Desc 9,Start Date 10,End Date 10,Time 10,Location 10,Instruct Method 10,Instruct Method Desc 10
ANTH,101,Anthropology,1,10046,INTRO TO BIOLOGICAL ANTH,L,Lecture,Potter,Amiee,956231242,,,,,4,4,45,180,100,45,55,0.45,10,0,10,9/29/2014 0:00,12/13/2014 0:00,MW 1640-1830,CIN 90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH,102,Anthropology,2,15731,INTRODUCTION TO ARCHAEOLOGY,L,Lecture,,,,,,,,4,4,0,104,100,26,74,0.26,10,0,10,9/29/2014 0:00,12/13/2014 0:00,MWF 1515-1620,BA 190,U,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH,103,Anthropology,1,10048,INTRO SOCIAL/CULTURAL ANTH,L,Lecture,Cornett,Bill,964586540,,,,,4,4,32,144,100,36,64,0.36,10,0,10,9/29/2014 0:00,12/13/2014 0:00,MWF 1400-1505,HOFF 109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH,300U,Anthropology,1,14426,MODERN WORLD ANTH PERSPECT,L,Lecture,Gamburd,Michele,963298287,,,,,4,4,0,192,49,48,1,0.98,10,6,4,9/29/2014 0:00,12/13/2014 0:00,TR 1200-1350,ASRC 220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH,301,Anthropology,1,14425,CULTURE & ETHNOGRAPHY,L,Lecture,Cornett,Bill,964586540,,,,,4,4,0,72,49,18,31,0.37,10,0,10,9/29/2014 0:00,12/13/2014 0:00,MWF 1130-1235,NH 222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH,304,Anthropology,1,10049,SOCIAL THEORY,L,Lecture,Klein,Charles,929738646,,,,,4,4,56,196,49,49,0,1,10,1,9,9/29/2014 0:00,12/13/2014 0:00,MWF 1015-1120,SRTC 155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH,311U,Anthropology,1,15540,PEOPLES/CULTURES LATIN AMERICA,L,Lecture,Soots,Mary,982873829,,,,,4,4,0,128,49,32,17,0.65,10,0,10,9/29/2014 0:00,12/13/2014 0:00,TR 0800-0950,NH 59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH,315U,Anthropology,1,14427,AMERICAN CULTURE,L,Lecture,Moore,David,960811708,,,,,4,4,0,140,35,35,0,1,10,5,5,9/29/2014 0:00,12/13/2014 0:00,,WEB,W,Fully Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH,317U,Anthropology,1,10050,PEOPLES/CULTURES OF S. ASIA,L,Lecture,Aengst,Jennifer,902197291,,,,,4,4,47,96,49,24,25,0.49,10,0,10,9/29/2014 0:00,12/13/2014 0:00,TR 1640-1830,ASRC 220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH,350U,Anthropology,1,10052,ARCHAEOLOGICAL METHOD & THRY,L,Lecture,Butler,Virginia,927105012,,,,,4,4,50,140,49,35,14,0.71,10,0,10,9/29/2014 0:00,12/13/2014 0:00,MWF 1245-1350,XSB 183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
