,,,,,          ,,,,,
,,,,,201404 Course Listing,,,,,
,,,,,"Sep 15, 2014",,,,,
,,,,,,,,,,
,,,,,,,,,,
ACTG: Accounting,,,,,,,,,,
,Sec,CRN,Title,Cr,Instructor's Name,Crosslist ID,Meeting Times,Location,,
ACTG 281,HB1,10003,ACCOUNTING MECHANICS: DR & CR,1,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,HB2,10002,ACCOUNTING MECHANICS: DR & CR,1,,,,,,
,,,,,,,W 1530-1700,,,
,,,,,,,,,,
,HB3,15401,ACCOUNTING MECHANICS: DR & CR,1,"Johnson, Marilyn",,,WEB,,
,,,,,,,,,,
,,,,,,,,,,
,HB4,16079,ACCOUNTING MECHANICS: DR & CR,1,"Johnson, Marilyn",,R 1530-1700,WEB,,
,,,,,,,R 1530-1700,BA 340,,
,,,,,,,,,,
ACTG 335,001,10005,ACTG INFORMATION SYSTEMS,4,"Yuthas, Kristi",,MW 1415-1605,CH 283,,
,,,,,,,,,,
,,,,,,,,,,
,002,10006,ACTG INFORMATION SYSTEMS,4,"Yuthas, Kristi",,W 1740-2120,NH 227,,
,,,,,,,,,,
,,,,,,,,,,
ACTG 360,001,10008,MANAGEMENT ACTG,4,"Schuster, Michael",,MW 1015-1205,BA 160,,
,,,,,,,,,,
,,,,,,,,,,
,002,10009,MANAGEMENT ACTG,4,"Schuster, Michael",,T 1740-2120,BA 140,,
,,,,,,,,,,
,,,,,,,,,,
,003,10007,MANAGEMENT ACTG,4,"Schuster, Michael",,MW 1215-1405,BA 160,,
,,,,,,,,,,
,,,,,,,,,,
ACTG 381,001,10012,FIN ACTG & REPRTG I,4,"Rupley, Kathleen",BO,MW 1015-1205,BA 140,,
,,,,,,,,,,
,,,,,,,,,,
,002,10014,FIN ACTG & REPRTG I,4,"Eckroth, John",BP,M 1740-2120,BA 160,,
,,,,,,,,,,
,,,,,,,,,,
,003,16064,FINANCIAL ACTG & RPRTNG I,4,"Lutz, Kelly",IZ,TR 0800-0950,BA 140,,
,,,,,,,,,,
,,,,,,,,,,
,004,10011,FIN ACTG & REPRTG I,4,,,TR 1400-1550,,,
,,,,,,,,,,
,,,,,,,,,,
,005,15490,FINANCIAL ACTG & RPRTNG I,4,,,TR 1200-1350,,,
,,,,,,,,,,
,,,,,,,,,,
,006,10010,FIN ACTG & REPRTG I,4,"Rupley, Kathleen",CP,MW 1415-1605,BA 160,,
,,,,,,,,,,
,,,,,,,,,,
,007,10013,FIN ACTG & REPRTG I,4,"Lutz, Kelly",CS,TR 1000-1150,BA 140,,
,,,,,,,,,,
,,,,,,,,,,
,008,16238,FINANCIAL ACTG & REPRTG I,4,"Rupley, Kathleen",,M 1740-2120,NH 350,,
,,,,,,,,,,
,,,,,,,,,,
,FA1,10015,FIN ACTG & REPRTG I,4,"Rupley, Kathleen",BO,MW 1015-1205,BA 140,,
,,,,,,,,,,
,,,,,,,,,,
,FA2,10016,FIN ACTG & REPRTG I,4,"Eckroth, John",BP,M 1740-2120,BA 160,,
,,,,,,,,,,
,,,,,,,,,,
,FA3,16063,FINANCIAL ACTG & REPRTG I,4,"Lutz, Kelly",IZ,TR 0800-0950,BA 140,,
,,,,,,,,,,
,,,,,,,,,,
,FA4,14893,FIN ACTG & REPRTG I,4,,,TR 1400-1550,,,
,,,,,,,,,,
,,,,,,,,,,
,FA5,15489,FINANCIAL ACTG & RPRTNG I,4,,,TR 1200-1350,,,
,,,,,,,,,,
,,,,,,,,,,
,FA6,10017,FIN ACTG & REPRTG I,4,"Rupley, Kathleen",CP,MW 1415-1605,BA 160,,
,,,,,,,,,,
,,,,,,,,,,
,FA7,10018,FIN ACTG & REPRTG I,4,"Lutz, Kelly",CS,TR 1000-1150,BA 140,,
,,,,,,,,,,
,,,,,,,,,,
ACTG 383,001,10020,FINANCIAL ACTG & REPORT III,4,"Carr, Tyee",YE,MW 1415-1605,ASRC 240,,
,,,,,,,,,,
,,,,,,,,,,
,002,10019,FINANCIAL ACTG & REPORT III,4,"Carr, Tyee",YF,W 1740-2120,BA 160,,
,,,,,,,,,,
,,,,,,,,,,
,FA1,14894,FINANCIAL ACTG & REPORT III,4,"Carr, Tyee",YE,MW 1415-1605,ASRC 240,,
,,,,,,,,,,
,,,,,,,,,,
,FA2,14895,FINANCIAL ACTG & REPORT III,4,"Carr, Tyee",YF,W 1740-2120,BA 160,,
,,,,,,,,,,
,,,,,,,,,,
ACTG 404,CSD,14896,INTERN: CAREER SKILLS DEV,4,"Simon, Lauren",YD,,WEB,,
,,,,,,,,,,
,,,,,,,,,,
ACTG 421,002,10021,INTRO TO TAXATION,4,"Hausserman, Cass",,W 1740-2120,CH 325,,
,,,,,,,,,,
,,,,,,,,,,
,003,10022,INTRO TO TAXATION,4,"Hausserman, Cass",,MW 1415-1605,CH 183,,
,,,,,,,,,,
,,,,,,,,,,
ACTG 422,001,10023,ADVANCED TAXATION,4,"Carr, Tyee",GN,M 1740-2120,CH 325,,
,,,,,,,,,,
,,,,,,,,,,
,002,10024,ADVANCED TAXATION,4,"Ramirez, William",GU,TR 1200-1350,LH 247,,
,,,,,,,,,,
,,,,,,,,,,
ACTG 430,001,10025,GOVT-NOT FOR PROFIT ACTG,2,"Smith-Wagar, Debbie",,R 1730-1920,CH 383,,
,,,,,,,,,,
,,,,,,,,,,
,002,10026,GOVT-NOT FOR PROFIT ACTG,2,,,R 1930-2120,,,
,,,,,,,,,,
,,,,,,,,,,
,003,15491,GOVERNMENTAL & NFP ACTG,2,"Camors, Casey",,F 0930-1120,BA 140,,
,,,,,,,,,,
,,,,,,,,,,
ACTG 460,001,15576,ADV MANAGERIAL ACCTG,4,"Brown, Darrell",,T 1740-2120,LH 339,,
,,,,,,,,,,
,,,,,,,,,,
ACTG 485,003,10027,BUSINESS LAW,4,"Motschenbacher, Anthony",GK,TR 1530-1720,NH 209,,
,,,,,,,,,,
,,,,,,,,,,
ACTG 490,001,15243,ADVANCED FINANCIAL ACCOUNTING,2,"Francisco, Cherie",,T 0800-0950,NH 227,,
,,,,,,,,,,
,,,,,,,,,,
,002,10028,ADV FINANCIAL ACTG,2,,,MW 1415-1545,,,
,,,,,,,,,,
,,,,,,,,,,
ACTG 492,001,10029,AUDITING CONC/PRAC,4,"Kremin, Joleen",GV,MW 1215-1405,CH 183,,
,,,,,,,,,,
,,,,,,,,,,
,002,10030,AUDITING CONC/PRAC,4,"Kremin, Joleen",GZ,M 1740-2120,BA 170,,
,,,,,,,,,,
,,,,,,,,,,
ACTG 495,001,10032,INTEGRATED ACTG ISSUES,4,"Johnson, Raymond",,MW 1015-1205,BA 290,,
,,,,,,,,,,
,,,,,,,,,,
,002,10033,INTEGRATED ACTG ISSUES,4,"Johnson, Raymond",,M 1740-2120,UTS 304,,
,,,,,,,,,,
,,,,,,,,,,
ACTG 511,001,10035,FINANCIAL REPORTING,4,"Philbrick, Donna",,W 1215-1605,BA 290,,
,,,,,,,,,,
,,,,,,,,,,
,002,10034,FINANCIAL REPORTING,4,"Philbrick, Donna",,R 1740-2120,BA 170,,
,,,,,,,,,,
,,,,,,,,,,
ACTG 512,001,10036,MNGRL ACTG AND CONTROL,2,,,W 1215-1605,,,
,,,,,,,,,,
,,,,,,,,,,
